Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.0919483,23.923076923076923,4.4325075,-4.157688289075284,-4.157688289075284,1.0
2000,2.1028218,25.641025641025642,4.1421866,-3.995783492922783,-3.995783492922783,1.0
3000,2.0988717,27.09090909090909,4.3529434,-3.4467238783836365,-3.4467238783836365,1.0
4000,2.1062055,24.10810810810811,4.1399865,-4.092242581503732,-4.092242581503732,1.0
5000,2.101706,30.032258064516128,4.0412645,-4.27248708136154,-4.27248708136154,1.0
6000,2.0978904,22.135135135135137,4.4180593,-4.110083322775991,-4.110083322775991,1.0
7000,2.1025224,30.15625,4.000034,-4.454147400154222,-4.454147400154222,1.0
8000,2.1092696,24.625,4.195294,-4.116995753663959,-4.116995753663959,1.0
9000,2.1060765,36.666666666666664,3.8103213,-4.038240315392613,-4.038240315392613,1.0
10000,2.0981119,21.733333333333334,4.357068,-4.436480625470479,-4.436480625470479,1.0
11000,2.1145515,25.46875,3.6763012,-4.24903177131306,-4.24903177131306,1.0
12000,2.1167307,32.878787878787875,4.0308266,-3.7574237046703214,-3.7574237046703214,1.0
13000,2.0947971,23.75,3.9561915,-4.583623470578875,-4.583623470578875,1.0
14000,2.0755877,21.43243243243243,4.3156075,-4.339014420142541,-4.339014420142541,1.0
15000,2.0670998,23.0,4.319527,-4.432338586220374,-4.432338586220374,1.0
16000,2.0529275,30.0,4.0064397,-4.271232284250713,-4.271232284250713,1.0
17000,2.0310073,26.944444444444443,3.806858,-3.9231612980365753,-3.9231612980365753,1.0
18000,2.0048757,35.2,3.1075258,-3.3161030809084573,-3.3161030809084573,1.0
19000,1.987203,26.428571428571427,2.7822413,-4.243492621183395,-4.243492621183395,1.0
20000,1.969369,24.68,2.3081293,-4.294438531001409,-4.294438531001409,1.0
21000,1.9710827,34.04545454545455,2.292014,-4.358346243699391,-4.358346243699391,1.0
22000,2.0149226,66.82608695652173,0.648699,254.49949081047723,254.49949081047723,1.0
